"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2019,2.45880614095658,2.20267706771234,2.71493521420083,2.06709052650215,2.85052175541101
2020,2.53958832043349,2.25222569436648,2.8269509465005,2.10010510903821,2.97907153182877
2021,2.58068094117051,2.2857745669344,2.87558731540663,2.12966056254966,3.03170131979137
2022,2.60158410929461,2.30475693920608,2.89841127938315,2.1476261269178,3.05554209167142
2023,2.61221722126916,2.31489504761832,2.90953939492,2.15750219627275,3.06693224626557
2024,2.61762611764276,2.32017599120213,2.91507624408339,2.16271540574115,3.07253682954437
2025,2.62037753792785,2.32289431143155,2.91786076442415,2.16541620385953,3.07533887199617
2026,2.62177714203602,2.32428535118083,2.91926893289122,2.16680270991107,3.07675157416098
2027,2.62248909857361,2.3249950916481,2.91998310549912,2.16751127726158,3.07746691988565
2028,2.62285125963648,2.32535667928409,2.92034583998887,2.16787256134372,3.07782995792925
2029,2.62303548525776,2.32554075652581,2.92053021398971,2.16805656003804,3.07801441047748
2030,2.623129197926,2.32563443079943,2.92062396505258,2.16815021398677,3.07810818186524
