"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2019,2.28873888997317,2.05480797478399,2.52266980516236,1.93097242862406,2.64650535132228
2020,2.28873888997317,2.01243656544854,2.56504121449781,1.86617095008474,2.71130682986161
2021,2.28873888997317,1.97566340390108,2.60181437604527,1.8099312526988,2.76754652724754
2022,2.28873888997317,1.94269891510695,2.6347788648394,1.75951641763298,2.81796136231336
2023,2.28873888997317,1.91254037541972,2.66493740452662,1.71339291140625,2.86408486854009
2024,2.28873888997317,1.88455901678154,2.6929187631648,1.67059911625683,2.90687866368952
2025,2.28873888997317,1.85832984889694,2.7191479310494,1.63048506561664,2.9469927143297
2026,2.28873888997317,1.83354972408274,2.7439280558636,1.59258713511269,2.98489064483365
2027,2.28873888997317,1.80999343704887,2.76748434289747,1.55656090297567,3.02091687697067
2028,2.28873888997317,1.78748827867491,2.78998950127144,1.52214223339947,3.05533554654687
2029,2.28873888997317,1.76589836571077,2.81157941423558,1.48912331088652,3.08835446905983
2030,2.28873888997317,1.74511451444911,2.83236326549723,1.45733715336615,3.1201406265802
