"ds","Forecast","Lower95","Upper95"
4149256-02-28,2.50789813171949,2.01405819894008,3.0017380644989
4149257-02-27,2.50789795925258,2.01405795098587,3.00173796751929
4149258-02-27,2.50789778678567,2.01405770303158,3.00173787053977
4149259-02-27,2.50789761431877,2.0140574550772,3.00173777356033
4149260-02-27,2.50789744185186,2.01405720712273,3.00173767658098
4149261-02-26,2.50789726938495,2.01405695916818,3.00173757960171
4149262-02-26,2.50789709691804,2.01405671121354,3.00173748262253
4149263-02-26,2.50789692445113,2.01405646325882,3.00173738564344
4149264-02-26,2.50789675198422,2.01405621530401,3.00173728866443
4149265-02-25,2.50789657951731,2.01405596734912,3.00173719168551
4149266-02-25,2.50789640705041,2.01405571939414,3.00173709470667
4149267-02-25,2.5078962345835,2.01405547143908,3.00173699772792
