"ds","Forecast","Lower95","Upper95"
4321941-06-07,0.267439710382853,-0.0976159924122356,0.632495413177942
4321942-06-07,0.267438707967578,-0.0976170506253671,0.632494466560523
4321943-06-07,0.267437705552304,-0.0976181088385607,0.632493519943168
4321944-06-06,0.267436703137029,-0.0976191670518176,0.632492573325877
4321945-06-06,0.267435700721755,-0.0976202252651376,0.632491626708648
4321946-06-06,0.267434698306481,-0.0976212834785208,0.632490680091482
4321947-06-06,0.267433695891206,-0.0976223416919673,0.63248973347438
4321948-06-05,0.267432693475932,-0.097623399905477,0.632488786857341
4321949-06-05,0.267431691060658,-0.0976244581190497,0.632487840240365
4321950-06-05,0.267430688645383,-0.0976255163326866,0.632486893623452
4321951-06-05,0.267429686230108,-0.0976265745463858,0.632485947006602
4321952-06-04,0.267428683814834,-0.0976276327601481,0.632485000389816
