"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2018,1.3,0.595562820029935,2.00443717997006,0.222656302537803,2.3773436974622
2019,1.3,0.303775386246477,2.29622461375352,-0.223594068288216,2.82359406828822
2020,1.3,0.0798790135513063,2.52012098644869,-0.566014021218639,3.16601402121864
2021,1.3,-0.10887435994013,2.70887435994013,-0.854687394924394,3.45468739492439
2022,1.3,-0.275169420291319,2.87516942029132,-1.10901374265644,3.70901374265644
2023,1.3,-0.425511646771782,3.02551164677178,-1.33894233638576,3.93894233638576
2024,1.3,-0.563765592468443,3.16376559246844,-1.55038350002778,4.15038350002778
2025,1.3,-0.692449227507046,3.29244922750705,-1.74718813657643,4.34718813657643
2026,1.3,-0.813311539910195,3.41331153991019,-1.93203109238659,4.53203109238659
2027,1.3,-0.927625957211349,3.52762595721135,-2.10685990680791,4.70685990680791
2028,1.3,-1.03635381433677,3.63635381433677,-2.27314481473627,4.87314481473627
2029,1.3,-1.14024197289739,3.74024197289739,-2.43202804243728,5.03202804243728
