"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2018,1.33096724444558,0.627159136684958,2.0347753522062,0.254585629904845,2.40734885898631
2019,1.33096724444558,0.360284309559796,2.30165017933136,-0.153564196921196,2.81549868581235
2020,1.33096724444558,0.127738974126295,2.53419551476486,-0.509211596898239,3.17114608578939
2021,1.33096724444558,-0.0901741645257368,2.75210865341689,-0.84248098300723,3.50441547189839
2022,1.33096724444558,-0.302001828924029,2.96393631781518,-1.166443439386,3.82837792827716
2023,1.33096724444558,-0.512520022883397,3.17445451177455,-1.48840323354804,4.1503377224392
2024,1.33096724444558,-0.724843946462227,3.38677843535338,-1.81312465284879,4.47505914173995
2025,1.33096724444558,-0.941242830534103,3.60317731942526,-2.14407818642377,4.80601267531493
2026,1.33096724444558,-1.16351558110425,3.82545006999541,-2.48401502359428,5.14594951248544
2027,1.33096724444558,-1.39318616027395,4.05512064916511,-2.83526586326672,5.49720035215787
2028,1.33096724444558,-1.63161476751402,4.29354925640517,-3.19991095101704,5.8618454399082
2029,1.33096724444558,-1.88006581431043,4.54200030320159,-3.57988403734019,6.24181852623135
