"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,1.84285697007634,1.63258882485489,2.05312511529779,1.52127959245833,2.16443434769435
2023,1.84285697007634,1.6325888238035,2.05312511634919,1.52127959085037,2.16443434930231
2024,1.84285697007634,1.63258882275211,2.05312511740058,1.52127958924241,2.16443435091028
2025,1.84285697007634,1.63258882170072,2.05312511845197,1.52127958763444,2.16443435251824
2026,1.84285697007634,1.63258882064933,2.05312511950336,1.52127958602648,2.1644343541262
2027,1.84285697007634,1.63258881959794,2.05312512055475,1.52127958441852,2.16443435573416
2028,1.84285697007634,1.63258881854655,2.05312512160614,1.52127958281056,2.16443435734213
2029,1.84285697007634,1.63258881749516,2.05312512265753,1.52127958120259,2.16443435895009
2030,1.84285697007634,1.63258881644377,2.05312512370892,1.52127957959463,2.16443436055805
2031,1.84285697007634,1.63258881539238,2.05312512476031,1.52127957798667,2.16443436216601
2032,1.84285697007634,1.63258881434099,2.0531251258117,1.52127957637871,2.16443436377397
2033,1.84285697007634,1.6325888132896,2.05312512686309,1.52127957477074,2.16443436538194
