"ds","Forecast","Lower95","Upper95"
4408520-08-15,1.7662229191886,1.41044791048511,2.1219979278921
4408521-08-15,1.76622283056107,1.41044777646787,2.12199788465426
4408522-08-15,1.76622274193353,1.41044764245059,2.12199784141646
4408523-08-15,1.76622265330599,1.41044750843326,2.12199779817871
4408524-08-14,1.76622256467845,1.41044737441589,2.121997754941
4408525-08-14,1.76622247605091,1.41044724039847,2.12199771170334
4408526-08-14,1.76622238742337,1.410447106381,2.12199766846573
4408527-08-14,1.76622229879583,1.41044697236349,2.12199762522817
4408528-08-13,1.76622221016829,1.41044683834592,2.12199758199065
4408529-08-13,1.76622212154075,1.41044670432832,2.12199753875318
4408530-08-13,1.76622203291321,1.41044657031066,2.12199749551575
4408531-08-13,1.76622194428567,1.41044643629296,2.12199745227837
