"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,2.81739130434786,2.69127153588082,2.9435110728149,2.62450776334974,3.01027484534598
2023,2.73478260869572,2.55642232164628,2.91314289574516,2.46200408905763,3.00756112833381
2024,2.65217391304358,2.43372806621985,2.87061975986732,2.31808982009104,2.98625800599612
2025,2.56956521739144,2.31732568045737,2.82180475432552,2.1837981353952,2.95533229938768
2026,2.4869565217393,2.20494414614047,2.76896889733814,2.05565581232664,2.91825723115197
2027,2.40434782608716,2.09541874686496,2.71327690530936,1.93188157086057,2.87681408131376
2028,2.32173913043503,1.98805758766219,2.65542067320786,1.81141724895647,2.83206101191358
2029,2.23913043478289,1.882409860684,2.59585100888177,1.69357339550671,2.78468747405906
2030,2.15652173913075,1.77816243372963,2.53488104453186,1.57787111613639,2.7351723621251
2031,2.07391304347861,1.67508731714968,2.47273876980753,1.46396173076608,2.68386435619113
2032,1.99130434782647,1.5730123971748,2.40959629847813,1.35158201410057,2.63102668155236
2033,1.90869565217433,1.47180395852686,2.3455873458218,1.24052746626925,2.5768638380794
