"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,2.81479363256552,2.68258661031051,2.94700065482052,2.61260044027444,3.0169868248566
2023,2.73215559323832,2.54797631480394,2.91633487167271,2.4504776942483,3.01383349222835
2024,2.64951755391113,2.42508781597248,2.87394729184979,2.30628188923259,2.99275321858968
2025,2.56687951458394,2.3083861895581,2.82537283960979,2.17154808905573,2.96221094011216
2026,2.48424147525675,2.19567210337315,2.77281084714036,2.04291270539734,2.92557024511617
2027,2.40160343592956,2.08580419980015,2.71740267205898,1.91863018241409,2.88457668944504
2028,2.31896539660237,1.97809969741225,2.6598310957925,1.7976562960249,2.84027449717985
2029,2.23632735727518,1.87211164540621,2.60054306914416,1.67930749396329,2.79334722058708
2030,2.15368931794799,1.76752855148791,2.53985008440808,1.56310738987511,2.74427124602087
2031,2.0710512786208,1.66412304959706,2.47797950764455,1.4487082573782,2.6933942998634
2032,1.98841323929361,1.56172316067462,2.41510331791261,1.33584707719899,2.64097940138824
2033,1.90577519996642,1.4601950649188,2.35135533501405,1.22431918961172,2.58723121032112
