"ds","Forecast","Lower95","Upper95"
4408520-08-15,2.85358876612953,2.56159771559999,3.14557981665907
4408521-08-15,2.85358789816526,2.56159681843598,3.14557897789455
4408522-08-15,2.853587030201,2.56159592127194,3.14557813913005
4408523-08-15,2.85358616223673,2.56159502410788,3.14557730036558
4408524-08-14,2.85358529427247,2.56159412694379,3.14557646160114
4408525-08-14,2.8535844263082,2.56159322977968,3.14557562283672
4408526-08-14,2.85358355834394,2.56159233261554,3.14557478407233
4408527-08-14,2.85358269037967,2.56159143545137,3.14557394530797
4408528-08-13,2.8535818224154,2.56159053828718,3.14557310654363
4408529-08-13,2.85358095445114,2.56158964112296,3.14557226777932
4408530-08-13,2.85358008648687,2.56158874395871,3.14557142901503
4408531-08-13,2.85357921852261,2.56158784679444,3.14557059025077
