"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,4.9496815170616,3.98734285188994,5.91202018223327,3.4779115349733,6.42145149914991
2023,4.71291143950801,3.5513876030477,5.87443527596832,2.93651402573748,6.48930885327854
2024,4.5528854278785,3.31095797092363,5.79481288483337,2.65352128796691,6.45224956779008
2025,4.44472849917093,3.16775592407065,5.72170107427121,2.49176747619537,6.39768952214649
2026,4.37162837558267,3.07896322987509,5.66429352129025,2.39466763691709,6.34858911424824
2027,4.32222212734251,3.02245163064051,5.62199262404451,2.33439469207183,6.31004956261319
2028,4.28882988058084,2.98582654085291,5.59183322030877,2.29605823856198,6.28160152259969
2029,4.26626103183174,2.96178359034705,5.57073847331642,2.27123494572302,6.26128711794045
2030,4.2510074031228,2.94585714370889,5.55615766253672,2.25495233078763,6.24706247545798
2031,4.2406979189583,2.93524043067897,5.54615540723762,2.24417298062053,6.23722285729606
2032,4.23373003834665,2.9281322315134,5.5393278451799,2.23699050129944,6.23046957539386
2033,4.22902065042351,2.9233587508807,5.53468254996631,2.23218309203578,6.22585820881124
