"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,5.29982996718648,4.278090408009,6.32156952636396,3.73721415725089,6.86244577712206
2023,5.29982996718648,3.8549442832945,6.74471565107846,3.09006800493381,7.50959192943914
2024,5.29982996718648,3.53024313624435,7.06941679812861,2.59348045351001,8.00617948086294
2025,5.29982996718648,3.25650413292225,7.34315580145071,2.17483277510215,8.42482715927081
2026,5.29982996718648,3.015333659967,7.58432627440596,1.80599436560288,8.79366556877008
2027,5.29982996718648,2.79729799128143,7.80236194309153,1.47253758597869,9.12712234839426
2028,5.29982996718648,2.59679293393017,8.00286700044278,1.16589156275793,9.43376837161503
2029,5.29982996718648,2.41016699101039,8.18949294336257,0.880471813340227,9.71918812103273
2030,5.29982996718648,2.23488379659707,8.36477613777588,0.612399300784527,9.98726063358843
2031,5.29982996718648,2.0690966229845,8.53056331138845,0.358849698789979,10.240810235583
2032,5.29982996718648,1.91141133099846,8.6882486033745,0.117690855483509,10.4819690788894
2033,5.29982996718648,1.76074480760158,8.83891512677138,-0.112733707579828,10.7123936419528
