"ds","Forecast","Lower95","Upper95"
4408520-08-15,4.74338197950574,2.52555724351263,6.96120671549884
4408521-08-15,4.74338273392552,2.52555762433453,6.9612078435165
4408522-08-15,4.74338348834529,2.52555800515599,6.9612089715346
4408523-08-15,4.74338424276507,2.52555838597699,6.96121009955315
4408524-08-14,4.74338499718485,2.52555876679756,6.96121122757214
4408525-08-14,4.74338575160463,2.52555914761767,6.96121235559158
4408526-08-14,4.74338650602441,2.52555952843735,6.96121348361147
4408527-08-14,4.74338726044419,2.52555990925657,6.9612146116318
4408528-08-13,4.74338801486396,2.52556029007535,6.96121573965257
4408529-08-13,4.74338876928374,2.52556067089369,6.96121686767379
4408530-08-13,4.74338952370352,2.52556105171158,6.96121799569546
4408531-08-13,4.7433902781233,2.52556143252903,6.96121912371757
