"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,1.68189287633234,1.3170212863163,2.04676446634837,1.12386993395515,2.23991581870952
2023,1.60364105266031,1.21599680647488,1.99128529884574,1.01079033813229,2.19649176718833
2024,1.57556609662481,1.18508700018205,1.96604519306758,0.978379852762411,2.17275234048722
2025,1.56549344758729,1.17465094022815,1.95633595494642,0.967751414690072,2.1632354804845
2026,1.56187961259125,1.17099035117808,1.95276887400442,0.964066075538832,2.15969314964367
2027,1.56058305164388,1.16968777241073,1.95147833087704,0.962760311130014,2.15840579215775
2028,1.56011787537212,1.16922182152619,1.95101392921805,0.962293950190245,2.15794180055399
2029,1.55995098081598,1.16905482726127,1.95084713437069,0.962126903142689,2.15777505848928
2030,1.55989110288463,1.16899493649531,1.95078726927394,0.962067005582499,2.15771520018676
2031,1.55986962005891,1.16897345201751,1.95076578810031,0.962045520230136,2.15769371988768
2032,1.55986191251474,1.16896574426068,1.95075808076879,0.96203781236073,2.15768601266874
2033,1.55985914722501,1.16896297894358,1.95075531550644,0.962035047029143,2.15768324742088
