"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,3.9999699875102,3.57226477039926,4.42767520462114,3.34585130506678,4.65408866995362
2023,3.9999699875102,3.39408210002993,4.60585787499047,3.07334442669966,4.92659554832074
2024,3.9999699875102,3.25663268508766,4.74330728993274,2.86313368666715,5.13680628835325
2025,3.9999699875102,3.1401494752007,4.8597904998197,2.68498799021596,5.31495198480444
2026,3.9999699875102,3.03698918777987,4.96295078724053,2.52721794536123,5.47272202965917
2027,3.9999699875102,2.94323846375769,5.05670151126271,2.38383858588151,5.61610138913889
2028,3.9999699875102,2.85657639796325,5.14336357705715,2.2513003936233,5.7486395813971
2029,3.9999699875102,2.77549321952921,5.22444675549119,2.12729437329963,5.87264560172077
2030,3.9999699875102,2.69894188867401,5.30099808634639,2.01021921574946,5.98972075927094
2031,3.9999699875102,2.62616123904572,5.37377873597468,1.89891081749375,6.10102915752665
2032,3.9999699875102,2.55657752144947,5.44336245357093,1.79249170486047,6.20744827015993
2033,3.9999699875102,2.48974565123306,5.51019432378733,1.69028117961488,6.30965879540552
