"ds","Forecast","Lower95","Upper95"
4408520-08-15,4.3612468344393,2.29613491109722,6.42635875778137
4408521-08-15,4.36124563057542,2.29613350071765,6.4263577604332
4408522-08-15,4.36124442671155,2.29613209033788,6.42635676308522
4408523-08-15,4.36124322284768,2.29613067995793,6.42635576573742
4408524-08-14,4.3612420189838,2.29612926957779,6.42635476838981
4408525-08-14,4.36124081511993,2.29612785919747,6.42635377104239
4408526-08-14,4.36123961125606,2.29612644881696,6.42635277369516
4408527-08-14,4.36123840739218,2.29612503843626,6.42635177634811
4408528-08-13,4.36123720352831,2.29612362805537,6.42635077900125
4408529-08-13,4.36123599966444,2.2961222176743,6.42634978165457
4408530-08-13,4.36123479580056,2.29612080729304,6.42634878430809
4408531-08-13,4.36123359193669,2.29611939691159,6.42634778696179
