"ds","Residuals"
1998-01-01,0.244723856346977
1999-01-01,-0.451262305008498
2000-01-01,-0.747248466363968
2001-01-01,-0.442949658298493
2002-01-01,-0.538935819653963
2003-01-01,-0.634921981009433
2004-01-01,-0.530908142364903
2005-01-01,-0.426609334299428
2006-01-01,-0.322595495654898
2007-01-01,-0.0185816570103674
2008-01-01,0.785432181634163
2009-01-01,0.989730989699637
2010-01-01,1.29374482834417
2011-01-01,1.5977586669887
2012-01-01,1.50177250563323
2013-01-01,1.6060713136987
2014-01-01,1.31008515234323
2015-01-01,-0.485901009012237
2016-01-01,-0.881887170367706
2017-01-01,-0.977588362302232
2018-01-01,-0.873574523657702
2019-01-01,-0.869560685013171
2020-01-01,-0.765546846368641
2021-01-01,-0.361248038303167
