"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2021,2.88342120955258,2.00921232946343,3.75763008964174,1.54643410266881,4.22040831643636
2022,2.88342120955258,2.00921232484485,3.75763009426031,1.54643409560532,4.22040832349985
2023,2.88342120955258,2.00921232022629,3.75763009887888,1.54643408854183,4.22040833056334
2024,2.88342120955258,2.00921231560772,3.75763010349745,1.54643408147833,4.22040833762684
2025,2.88342120955258,2.00921231098915,3.75763010811602,1.54643407441484,4.22040834469033
2026,2.88342120955258,2.00921230637057,3.75763011273459,1.54643406735134,4.22040835175383
2027,2.88342120955258,2.009212301752,3.75763011735317,1.54643406028785,4.22040835881732
2028,2.88342120955258,2.00921229713343,3.75763012197174,1.54643405322436,4.22040836588081
2029,2.88342120955258,2.00921229251486,3.75763012659031,1.54643404616086,4.22040837294431
2030,2.88342120955258,2.00921228789629,3.75763013120888,1.54643403909737,4.2204083800078
2031,2.88342120955258,2.00921228327772,3.75763013582745,1.54643403203387,4.2204083870713
2032,2.88342120955258,2.00921227865915,3.75763014044602,1.54643402497038,4.22040839413479
