"ds","Forecast","Lower95","Upper95"
4321941-06-07,3.29583644160857,1.79164649058665,4.8000263926305
4321942-06-07,3.29583712328272,1.79164682199376,4.80002742457168
4321943-06-07,3.29583780495686,1.79164715340036,4.80002845651336
4321944-06-06,3.295838486631,1.79164748480647,4.80002948845554
4321945-06-06,3.29583916830515,1.79164781621208,4.80003052039822
4321946-06-06,3.29583984997929,1.79164814761719,4.80003155234139
4321947-06-06,3.29584053165343,1.7916484790218,4.80003258428506
4321948-06-05,3.29584121332757,1.79164881042592,4.80003361622923
4321949-06-05,3.29584189500172,1.79164914182954,4.80003464817389
4321950-06-05,3.29584257667586,1.79164947323267,4.80003568011906
4321951-06-05,3.29584325835,1.79164980463529,4.80003671206472
4321952-06-04,3.29584394002415,1.79165013603742,4.80003774401087
