"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,43.818085103156,40.5315397724915,47.1046304338205,38.7917477673475,48.8444224389645
2023,45.736170206312,40.4168030468171,51.0555373658069,37.600900168446,53.8714402441779
2024,47.6542553094679,40.2997500031744,55.0087606157615,36.4065100669122,58.9020005520237
2025,49.5723404126239,40.0967659087654,59.0479149164824,35.0806997641289,64.063981061119
2026,51.4904255157799,39.7859457490226,63.1949052825372,33.5899684312666,69.3908826002933
2027,53.4085106189359,39.3614596972523,67.4555615406194,31.9254001177988,74.891621120073
2028,55.3265957220919,38.8230573398148,71.830134104369,30.0866118491122,80.5665795950715
2029,57.2446808252478,38.1726554155936,76.3167062349021,28.0765350243646,86.4128266261311
2030,59.1627659284038,37.4130153581265,80.9125164986812,25.8993928917068,92.4261389651008
2031,61.0808510315598,36.5471770901596,85.61452497296,23.5598346117802,98.6018674513394
2032,62.9989361347158,35.5782037811338,90.4196684882978,21.0625448979774,104.935327371454
2033,64.9170212378718,34.5090657804575,95.3249766952861,18.4120665077017,111.421975968042
