"ds","Forecast","Lower95","Upper95"
4321941-06-07,3.95489152521161,3.0315779387143,4.87820511170893
4321942-06-07,3.95488536327151,3.03157140854782,4.8781993179952
4321943-06-07,3.95487920133141,3.03156487838064,4.87819352428218
4321944-06-06,3.95487303939131,3.03155834821275,4.87818773056987
4321945-06-06,3.9548668774512,3.03155181804415,4.87818193685826
4321946-06-06,3.9548607155111,3.03154528787485,4.87817614314735
4321947-06-06,3.954854553571,3.03153875770484,4.87817034943715
4321948-06-05,3.95484839163089,3.03153222753413,4.87816455572766
4321949-06-05,3.95484222969079,3.03152569736271,4.87815876201887
4321950-06-05,3.95483606775069,3.03151916719059,4.87815296831078
4321951-06-05,3.95482990581058,3.03151263701776,4.8781471746034
4321952-06-04,3.95482374387048,3.03150610684423,4.87814138089673
