"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2012,5.15092381227588,3.7714112801965,6.53043634435526,3.04114145798703,7.26070616656472
2013,4.94567794223882,3.45202167556402,6.43933420891362,2.66132781020094,7.2300280742767
2014,5.06572071418429,3.24304715227942,6.88839427608916,2.27818205171246,7.85325937665612
2015,4.99551093557218,3.01742096115688,6.97360090998747,1.97028338151258,8.02073848963177
2016,5.03657474085486,2.85077216041786,7.22237732129185,1.69367816911162,8.3794713125981
2017,5.0125576290276,2.67248677742587,7.35262848062933,1.43372809635692,8.59138716169829
2018,5.02660458976473,2.52271541491875,7.53049376461071,1.19723655189545,8.85597262763401
2019,5.01838890141013,2.37141068297853,7.66536711984173,0.97018505579797,9.06659274702228
2020,5.02319403587324,2.23458927157558,7.8117988001709,0.758391079764644,9.28799699198184
2021,5.02038364236608,2.1003023651286,7.94046491960357,0.554504711553753,9.48626257317841
2022,5.02202736570529,1.97429532806742,8.06975940334317,0.360923443788067,9.68313128762252
2023,5.02106599627109,1.85185731380968,8.1902746787325,0.174179578184293,9.86795241435789
