"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2012,4.72268051932876,4.00308940840101,5.44227163025651,3.62216088443275,5.82320015422477
2013,4.40663014360675,3.73519536368055,5.07806492353294,3.37975926146344,5.43350102575005
2014,4.09057976788473,3.46730129742954,4.71385823833992,3.13735760556599,5.04380193020346
2015,3.77452939216271,3.19940719782984,4.34965158649558,2.89495589866614,4.65410288565929
2016,3.4584790164407,2.93151304982086,3.98544498306053,2.65255411773067,4.26440391515072
2017,3.14242864071868,2.66361883336973,3.62123844806763,2.41015223212197,3.87470504931539
2018,2.82637826499666,2.39572452058089,3.25703200941243,2.16775019917745,3.48500633081588
2019,2.51032788927465,2.12783007062234,2.89282570792695,1.92534795644997,3.09530782209933
2020,2.19427751355263,1.85993542026724,2.52861960683802,1.68294540724239,2.70560961986287
2021,1.87822713783061,1.59204046488655,2.16441381077468,1.44054239153845,2.31591188412278
2022,1.5621767621086,1.32414501637058,1.80020850784662,1.19813862164917,1.92621490256802
2023,1.24612638638658,1.056248697024,1.43600407574916,0.955733519939423,1.53651925283374
