"ds","Forecast","Lower95","Upper95"
3544384-08-08,5.23154208947238,3.25714097723545,7.20594320170931
3544385-08-08,5.23153881539709,3.25713718417996,7.20594044661421
3544386-08-08,5.23153554132179,3.25713339112367,7.20593769151991
3544387-08-08,5.23153226724649,3.2571295980666,7.20593493642639
3544388-08-07,5.23152899317119,3.25712580500874,7.20593218133365
3544389-08-07,5.2315257190959,3.25712201195009,7.20592942624171
3544390-08-07,5.2315224450206,3.25711821889065,7.20592667115055
3544391-08-07,5.2315191709453,3.25711442583043,7.20592391606018
3544392-08-06,5.23151589687001,3.25711063276942,7.20592116097059
3544393-08-06,5.23151262279471,3.25710683970763,7.20591840588179
3544394-08-06,5.23150934871941,3.25710304664504,7.20591565079378
3544395-08-06,5.23150607464411,3.25709925358167,7.20591289570656
