"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2012,1.5,1.38537333258706,1.61462666741294,1.32469364024245,1.67530635975755
2013,1.5,1.33789341233499,1.66210658766501,1.25207936846061,1.74792063153939
2014,1.5,1.30146078813849,1.69853921186151,1.19636047800997,1.80363952199003
2015,1.5,1.27074666517412,1.72925333482588,1.14938728048489,1.85061271951511
2016,1.5,1.2436869796304,1.7563130203696,1.10800306269408,1.89199693730592
2017,1.5,1.21922315392258,1.78077684607742,1.07058886992922,1.92941113007078
2018,1.5,1.19672634440924,1.80327365559076,1.03618296883349,1.96381703116651
2019,1.5,1.17578682466998,1.82421317533002,1.00415873692122,1.99584126307878
2020,1.5,1.15611999776118,1.84388000223882,0.974080920727342,2.02591907927266
2021,1.5,1.1375186503805,1.8624813496195,0.94563261485325,2.05436738514675
2022,1.5,1.11982635322241,1.88017364677759,0.918574581321139,2.08142541867886
2023,1.5,1.10292157627697,1.89707842372303,0.892720956019942,2.10727904398006
