"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2012,1.48075586129317,1.37177008737387,1.58974163521248,1.31407650366757,1.64743521891878
2013,1.48075586129317,1.3525824286008,1.60892929398555,1.28473151189825,1.6767802106881
2014,1.48075586129317,1.33591471113375,1.6255970114526,1.25924043778293,1.70227128480342
2015,1.48075586129317,1.32097636100962,1.64053536157673,1.23639420278239,1.72511751980396
2016,1.48075586129317,1.30731994043991,1.65419178214644,1.21550850985048,1.74600321273586
2017,1.48075586129317,1.29466301195828,1.66684871062806,1.19615140815763,1.76536031442872
2018,1.48075586129317,1.28281375231953,1.67869797026682,1.17802952936646,1.78348219321988
2019,1.48075586129317,1.27163482352726,1.68987689905909,1.16093283313694,1.8005788894494
2020,1.48075586129317,1.26102389191309,1.70048783067326,1.14470481362892,1.81680690895742
2021,1.48075586129317,1.25090228116224,1.71060944142411,1.12922514580239,1.83228657678395
2022,1.48075586129317,1.24120795746105,1.7203037651253,1.11439895712638,1.84711276545997
2023,1.48075586129317,1.23189098196762,1.72962074061873,1.10014987273296,1.86136184985339
