"ds","Forecast","Lower95","Upper95"
3544384-08-08,1.44545296121497,1.26536744827383,1.6255384741561
3544385-08-08,1.44545319255396,1.2653676077883,1.62553877731962
3544386-08-08,1.44545342389296,1.26536776730263,1.62553908048328
3544387-08-08,1.44545365523195,1.26536792681682,1.62553938364708
3544388-08-07,1.44545388657094,1.26536808633087,1.62553968681102
3544389-08-07,1.44545411790994,1.26536824584479,1.62553998997509
3544390-08-07,1.44545434924893,1.26536840535856,1.6255402931393
3544391-08-07,1.44545458058792,1.26536856487221,1.62554059630364
3544392-08-06,1.44545481192692,1.26536872438571,1.62554089946813
3544393-08-06,1.44545504326591,1.26536888389907,1.62554120263275
3544394-08-06,1.44545527460491,1.2653690434123,1.62554150579751
3544395-08-06,1.4454555059439,1.26536920292539,1.62554180896241
